id,fecha,genero,edad,estado_civil,ubicacion,orientacion_politica,videojuegos,series_tv,sexo,animales,religion,otros,politica,clasicos,educacion,musica
55,25/11/2019 10:01:38,Mujer,21,Solter@,Ciudad,Centro,0,0,0,1,0,1,0,0,1,0
56,25/11/2019 10:02:52,Mujer,22,Solter@,Ciudad,Centro,0,1,0,1,0,1,0,1,1,1
57,25/11/2019 10:08:25,Mujer,22,Solter@,Ciudad,Derecha,0,1,1,0,0,0,0,0,0,0
58,25/11/2019 10:19:46,Mujer,28,Solter@,Ciudad,Centro,0,1,0,0,0,0,0,0,0,0
59,25/11/2019 10:32:13,Mujer,20,Solter@,Ciudad,Derecha,0,1,1,0,0,0,1,0,1,0
60,25/11/2019 10:56:02,Mujer,20,Solter@,Ciudad,Centro,0,1,0,1,0,0,0,1,1,0
61,25/11/2019 11:06:27,Mujer,28,Unión Libre,Ciudad,Izquierda,0,0,1,0,1,0,1,1,0,1
62,25/11/2019 11:20:23,Mujer,22,Solter@,Ciudad,Centro,0,0,1,1,0,1,0,0,1,0
63,25/11/2019 13:32:57,Mujer,21,Solter@,Ciudad,Anarquista,0,0,1,0,0,0,0,0,1,0
64,25/11/2019 13:59:42,Mujer,20,Solter@,Ciudad,Centro,0,1,0,0,0,0,1,0,1,0
65,25/11/2019 19:14:59,Hombre,55,Casad@,Pueblo,Derecha,0,0,1,1,0,0,0,0,0,0
66,25/11/2019 19:21:14,Hombre,28,Casad@,Ciudad,Scientologist,0,0,0,0,1,1,1,0,1,0
67,25/11/2019 19:26:25,Mujer,20,Solter@,Pueblo,Izquierda,1,1,0,0,0,1,0,0,0,0
68,25/11/2019 19:48:57,Mujer,17,Solter@,Ciudad,Derecha,0,0,0,0,0,1,0,0,0,0
69,25/11/2019 20:55:26,Hombre,23,Solter@,Ciudad,Centro,0,0,0,0,0,0,0,0,1,0
70,25/11/2019 21:26:23,Mujer,20,Solter@,Ciudad,Centro,1,1,0,1,1,1,1,1,1,1
71,26/11/2019 6:50:40,Mujer,34,Casad@,Ciudad,Derecha,0,1,0,1,0,0,0,0,1,0
72,26/11/2019 15:43:54,Mujer,25,Solter@,Ciudad,Centro,0,0,0,0,0,1,0,0,0,0
73,29/11/2019 16:29:20,Hombre,25,Solter@,Ciudad,Derecha,0,0,0,0,0,0,1,1,1,0
74,29/11/2019 16:30:50,Hombre,49,Casad@,Ciudad,Centro,0,0,0,0,0,0,0,0,0,0
75,29/11/2019 16:32:13,Hombre,28,Solter@,Pueblo,Centro,0,0,0,1,0,0,0,0,0,0
76,29/11/2019 16:32:35,Prefiero no decirlo,27,Solter@,Ciudad,Izquierda,0,0,0,0,0,0,0,0,0,0
77,29/11/2019 16:32:48,Mujer,30,Casad@,Ciudad,Centro,0,1,0,0,0,0,0,0,0,0
78,29/11/2019 16:35:27,Hombre,28,Unión Libre,Ciudad,Centro,0,0,1,0,0,0,1,0,0,0
79,29/11/2019 16:37:06,Hombre,28,Solter@,Ciudad,Centro,1,0,0,1,0,0,1,0,0,0
80,29/11/2019 16:37:36,Hombre,28,Solter@,Pueblo,Centro,1,0,0,1,0,1,1,0,0,0
81,29/11/2019 16:46:46,Hombre,25,Solter@,Ciudad,Izquierda,0,0,1,0,1,0,0,0,0,0
82,29/11/2019 19:21:53,Hombre,24,Solter@,Ciudad,Derecha,1,1,0,0,0,0,1,0,0,1
